URL,Venue Name,Guest Capacity,Contact,Location,Highlights
https://www.wedding-spot.com/venue/11347/the-claridge-hotel/,The Claridge Hotel,600,609-487-4378,"123 South Indiana Avenue Atlantic City, NJ 08401","Indoor and outdoor spaces, Rentals included, Valet parking"
https://www.wedding-spot.com/venue/11585/maggianos-little-italy-cherry-hill/,Maggiano's Little Italy- Cherry Hill,170,856-792-4480,"2000 New Jersey 38 Cherry Hill, NJ 08002",
https://www.wedding-spot.com/venue/12608/cape-cod-inn-motel/,Cape Cod Inn Motel,95,609-522-1177,"6109 Atlantic Avenue Wildwood, NJ 08260","BYO, Valet parking"
https://www.wedding-spot.com/venue/1400/leonards-palazzo/,Leonard's Palazzo,1000,516-487-7900,"555 Northern Boulevard Great Neck, NY 11021","4x award winner, Indoor and outdoor spaces, Upgraded rentals included"
https://www.wedding-spot.com/venue/9821/morven-museum-garden/,Morven Museum & Garden,450,609-826-1222,"55 Stockton Street Princeton, NJ 08540","Indoor and outdoor spaces, BYO"
https://www.wedding-spot.com/venue/11114/porta-pizzeria-asbury-park/,Porta Pizzeria Asbury Park,200,732-740-1722,"911 Kingsley Street Asbury Park, NJ 07712","Indoor and outdoor spaces, Rentals included, Valet parking"
https://www.wedding-spot.com/venue/9937/the-windrift-avalon/,The Windrift- Avalon,250,609-368-5175 ext  134,"105 80th Street Avalon, NJ 08202","Indoor and outdoor spaces, Valet parking"
https://www.wedding-spot.com/venue/9346/liberty-lake-picnic/,Liberty Lake Picnic,2500,609-499-0432,"1195 Florence Columbus Road Bordentown, NJ 08505","BYO, Rentals included, Valet parking"
https://www.wedding-spot.com/venue/9190/tim-mcloones-supper-club/,Tim McLoone's Supper Club,160,732-774-1155,"1200 Ocean Avenue Asbury Park, NJ 07712","Indoor and outdoor spaces, Valet parking"
https://www.wedding-spot.com/venue/9161/american-legion-post-129/,American Legion Post 129,200,732-551-2819,"2025 Church Road Toms River, NJ 08753",Valet parking
https://www.wedding-spot.com/venue/9431/hopewell-valley-vineyards/,Hopewell Valley Vineyards,400,609-737-4465,"46 Yard Road Pennington, NJ 08534","Indoor and outdoor spaces, Valet parking"
https://www.wedding-spot.com/venue/9165/leftys-tavern/,Lefty's Tavern,170,609-607-0707,"547 North Main Street Barnegat, NJ 08005","Indoor and outdoor spaces, Rentals included, Valet parking"
https://www.wedding-spot.com/venue/15477/the-rockleigh/,The Rockleigh,800,201-768-7171 ext  121,"26 Paris Avenue Rockleigh, NJ 07647","Award winner, Indoor and outdoor spaces"
https://www.wedding-spot.com/venue/18060/millennium-hilton-new-york-one-un-plaza/,Millennium Hilton New York One UN Plaza,200,212-702-5003,"One UN Plaza New York, NY 10017","Upgraded rentals included, Rentals included, Valet parking"
https://www.wedding-spot.com/venue/15714/the-arts-ballroom/,The Arts Ballroom,230,215-621-8561,"1324 Locust Street Philadelphia, PA 19107","Upgraded rentals included, Rentals included, Valet parking"
https://www.wedding-spot.com/venue/3184/cairnwood-estate/,Cairnwood Estate,250,215-947-2004,"1005 Cathedral Road Bryn Athyn, PA 19009","3x award winner, Indoor and outdoor spaces, BYO"
https://www.wedding-spot.com/venue/18278/maxwell-social/,Maxwell Social,250,646-203-9756,"135 Watts Street New York, NY 10013","Indoor and outdoor spaces, BYO, Upgraded rentals included"
https://www.wedding-spot.com/venue/16831/prallsville-mills/,Prallsville Mills,150,609-397-3586,"33 Risler Street Stockton, NJ 08559",Indoor and outdoor spaces
https://www.wedding-spot.com/venue/14198/the-benjamin-royal-sonesta-new-york/,The Benjamin Royal Sonesta New York,100,212-715-2500,"125 East 50th Street New York, NY 10022","Indoor and outdoor spaces, Rentals included, Valet parking"
https://www.wedding-spot.com/venue/3314/goggleworks-center-of-the-arts/,GoggleWorks Center of the Arts,215,610-374-4600 ext  115,"201 Washington Street Reading, PA 19601","Award winner, BYO, Valet parking"
https://www.wedding-spot.com/venue/16087/the-german-society-of-pennsylvania/,The German Society of Pennsylvania,200,,"611 Spring Garden Street Philadelphia, PA 19123","Indoor and outdoor spaces, BYO, Valet parking"
https://www.wedding-spot.com/venue/2285/kimpton-eventi/,Kimpton Eventi,160,646-794-6837,"851 6th Avenue New York, NY 10001","Award winner, Indoor and outdoor spaces, Upgraded rentals included"
https://www.wedding-spot.com/venue/714/pleasantdale-chateau/,Pleasantdale Chateau,350,973-731-5600,"757 Eagle Rock Avenue West Orange, NJ 07052","2x award winner, Indoor and outdoor spaces, Rentals included"
